Symbol,BSE Code,Todays Low,Todays High,52W Low,52W High,Open,Prev Close,Volume,Lower Circuit,Upper Circuit
INFY,,NA,NA,NA,NA,NA,1426.6,NA,NA,NA
WIPRO,,NA,NA,NA,NA,NA,241.65,NA,NA,NA
HDFCLIFE,,NA,NA,NA,NA,NA,776.6,NA,NA,NA
BAJAJFINSV,,NA,NA,NA,NA,NA,1914.4,NA,NA,NA
SBIN,,NA,NA,NA,NA,NA,821.85,NA,NA,NA
ETERNAL,,NA,NA,NA,NA,NA,312.35,NA,NA,NA
HDFCBANK,,NA,NA,NA,NA,NA,1980.3,NA,NA,NA
ADANIENT,,NA,NA,NA,NA,NA,2280.1,NA,NA,NA
INDUSINDBK,,NA,NA,NA,NA,NA,773.45,NA,NA,NA
BHARTIARTL,,NA,NA,NA,NA,NA,1867.4,NA,NA,NA
TCS,,NA,NA,NA,NA,NA,3036.2,NA,NA,NA
ICICIBANK,,NA,NA,NA,NA,NA,1420.8,NA,NA,NA
HCLTECH,,NA,NA,NA,NA,NA,1501.1,NA,NA,NA
POWERGRID,,NA,NA,NA,NA,NA,288.2,NA,NA,NA
TITAN,,NA,NA,NA,NA,NA,3466.8,NA,NA,NA
AXISBANK,,NA,NA,NA,NA,NA,1066,NA,NA,NA
EICHERMOT,,NA,NA,NA,NA,NA,5714.5,NA,NA,NA
MARUTI,,NA,NA,NA,NA,NA,12834,NA,NA,NA
HINDUNILVR,,NA,NA,NA,NA,NA,2495.1,NA,NA,NA
